Treatment,Test,Species,Rank
Maryland,Nov,Red,1
Maryland,Nov,Red,0
Erie,Nov,Red,0
Erie,Nov,Red,0
Erie,Nov,Red,0
Maryland,Nov,Red,1
Erie,Nov,Red,0
University Park,Nov,Red,1
Control,Nov,Red,1
Erie,Nov,Red,0
Control,Nov,Red,0
Maryland,Nov,Red,1
Maryland,Nov,Red,1
Control,Nov,Red,0
Maryland,Nov,Red,0
Maryland,Nov,Red,0
Control,Nov,Red,0
Control,Nov,Red,0
Maryland,Nov,Red,1
University Park,Nov,Red,1
Erie,Nov,Red,0
University Park,Nov,Red,2
Control,Nov,Red,0
University Park,Nov,Red,1
Control,Nov,Red,1
Maryland,Nov,Red,0
University Park,Nov,Red,1
University Park,Nov,Red,0
Erie,Nov,Red,0
Erie,Nov,Red,0
Erie,Nov,Red,0
Control,Nov,Red,0
Erie,Nov,Red,1
Erie,Nov,Red,0
Control,Nov,Red,0
Control,Nov,Red,0
University Park,Nov,Red,
Erie,Nov,Red,1
Maryland,Nov,Red,1
University Park,Nov,Red,1
University Park,Nov,Red,1
Maryland,Nov,Red,1
Control,Nov,Red,
Control,Nov,Red,0
Maryland,Nov,Red,0
University Park,Nov,Red,1
Erie,Nov,Red,
University Park,Nov,Red,0
University Park,Nov,Red,0
University Park,Nov,Red,0
Control,Nov,Red,0
Maryland,Nov,Red,1
Erie,Nov,Red,1
Control,Nov,Red,0
Maryland,Nov,Red,1
Control,Nov,Red,1
University Park,Nov,Red,1
University Park,Nov,Red,
Erie,Nov,Red,0
Maryland,Nov,Red,1
Control,Nov,Red,0
Maryland,Nov,Red,4
University Park,Nov,Red,1
Erie,Nov,Red,1
Control,Nov,Red,
University Park,Nov,Red,0
University Park,Nov,Red,1
University Park,Nov,Red,1
Erie,Nov,Red,0
Maryland,Nov,Red,1
Maryland,Nov,Red,1
Control,Nov,Red,0
University Park,Nov,Red,0
University Park,Nov,Red,
Control,Nov,Red,0
Control,Nov,Red,0
Maryland,Nov,Red,1
Erie,Nov,Red,0
Erie,Nov,Red,1
University Park,Nov,Red,0
University Park,Nov,Red,1
Control,Nov,Red,0
University Park,Nov,Red,1
Erie,Nov,Red,0
Control,Nov,Red,0
Maryland,Nov,Red,0
Erie,Nov,Red,0
Maryland,Nov,Red,1
Maryland,Nov,Red,0
Maryland,Nov,Red,1
Control,Nov,Red,0
Erie,Nov,Red,0
Control,Nov,Red,0
Erie,Nov,Red,0
Maryland,Nov,Red,1
Erie,Nov,Red,0
Control,Nov,Red,0
University Park,Nov,Red,1
Maryland,Nov,Red,1
Erie,Nov,Red,1
Maryland,Nov,Pin,2
Maryland,Nov,Pin,1
Erie,Nov,Pin,1
Erie,Nov,Pin,0
Erie,Nov,Pin,1
Maryland,Nov,Pin,1
Erie,Nov,Pin,3
University Park,Nov,Pin,2
Control,Nov,Pin,0
Erie,Nov,Pin,1
Control,Nov,Pin,0
Maryland,Nov,Pin,1
Maryland,Nov,Pin,2
Control,Nov,Pin,0
Maryland,Nov,Pin,2
Maryland,Nov,Pin,1
Control,Nov,Pin,0
Control,Nov,Pin,2
Maryland,Nov,Pin,1
University Park,Nov,Pin,1
Erie,Nov,Pin,1
University Park,Nov,Pin,1
Control,Nov,Pin,0
University Park,Nov,Pin,1
Control,Nov,Pin,1
Maryland,Nov,Pin,1
University Park,Nov,Pin,1
University Park,Nov,Pin,1
Erie,Nov,Pin,1
Erie,Nov,Pin,0
Erie,Nov,Pin,1
Control,Nov,Pin,0
Erie,Nov,Pin,1
Erie,Nov,Pin,0
Control,Nov,Pin,0
Control,Nov,Pin,1
University Park,Nov,Pin,1
Erie,Nov,Pin,3
Maryland,Nov,Pin,1
University Park,Nov,Pin,0
University Park,Nov,Pin,1
Maryland,Nov,Pin,2
Control,Nov,Pin,1
Control,Nov,Pin,4
Maryland,Nov,Pin,1
University Park,Nov,Pin,1
Erie,Nov,Pin,1
University Park,Nov,Pin,0
University Park,Nov,Pin,0
University Park,Nov,Pin,0
Control,Nov,Pin,0
Maryland,Nov,Pin,
Erie,Nov,Pin,1
Control,Nov,Pin,0
Maryland,Nov,Pin,0
Control,Nov,Pin,0
University Park,Nov,Pin,1
University Park,Nov,Pin,2
Erie,Nov,Pin,1
Maryland,Nov,Pin,0
Control,Nov,Pin,1
Maryland,Nov,Pin,1
University Park,Nov,Pin,0
Erie,Nov,Pin,1
Control,Nov,Pin,1
University Park,Nov,Pin,1
University Park,Nov,Pin,1
University Park,Nov,Pin,1
Erie,Nov,Pin,2
Maryland,Nov,Pin,1
Maryland,Nov,Pin,1
Control,Nov,Pin,0
University Park,Nov,Pin,1
University Park,Nov,Pin,0
Control,Nov,Pin,0
Control,Nov,Pin,0
Maryland,Nov,Pin,1
Erie,Nov,Pin,0
Erie,Nov,Pin,1
University Park,Nov,Pin,1
University Park,Nov,Pin,1
Control,Nov,Pin,1
University Park,Nov,Pin,1
Erie,Nov,Pin,1
Control,Nov,Pin,3
Maryland,Nov,Pin,1
Erie,Nov,Pin,1
